2015-01-21 09:59:12.643|MSG05|Service VHT_Provider RUNNING on JUBILEE. State Running|4|9
2015-01-21 09:59:12.861|MSG05|Process VHT_OperationModeService.exe (PID 7912) RUNNING on JUBILEE|4|9
2015-01-21 09:59:12.862|MSG05|Service VHT_OperationModeServer RUNNING on JUBILEE. State Running|4|9
2015-01-21 09:59:13.081|MSG05|Process VHT_Message_Bus.exe (PID 6540) RUNNING on JUBILEE|4|9
2015-01-21 09:59:13.082|MSG05|Service VHT_Message_Bus RUNNING on JUBILEE. State Running|4|9
2015-01-21 09:59:13.303|MSG05|Process VHT_QueueManager_Service.exe (PID 9828) RUNNING on JUBILEE|4|9
2015-01-21 09:59:13.304|MSG05|Service VHT_QueueManager RUNNING on JUBILEE. State Running|4|9
2015-01-21 09:59:13.526|MSG05|Process VHT_ReportWriter.exe (PID 9568) RUNNING on JUBILEE|4|9
2015-01-21 09:59:13.526|MSG05|Service VHT_ReportWriter RUNNING on JUBILEE. State Running|4|9
2015-01-21 10:00:08.243|MSG05|ComputerMonitorThread polling for JUBILEE|3|8
2015-01-21 10:00:13.530|MSG05|ProgramMonitorThread polling programs running on JUBILEE|4|9
2015-01-21 10:00:13.750|MSG05|Process VHT_QWatch_Client_Service.exe (PID 8560) RUNNING on JUBILEE|4|9
2015-01-21 10:00:13.751|MSG05|Service VHT_QWatch_Client RUNNING on JUBILEE. State Running|4|9
2015-01-21 10:00:13.971|MSG05|Process VHT_GlobalCall_IVR_Service.exe (PID 8052) RUNNING on JUBILEE|4|9
2015-01-21 10:00:13.972|MSG05|Service VHT_GlobalCall_IVR RUNNING on JUBILEE. State Running|4|9
2015-01-21 10:00:14.191|MSG05|Process VHT_Provider_Service.exe (PID 11236) RUNNING on JUBILEE|4|9
2015-01-21 10:00:14.192|MSG05|Service VHT_Provider RUNNING on JUBILEE. State Running|4|9
2015-01-21 10:00:14.413|MSG05|Process VHT_OperationModeService.exe (PID 7912) RUNNING on JUBILEE|4|9
2015-01-21 10:00:14.414|MSG05|Service VHT_OperationModeServer RUNNING on JUBILEE. State Running|4|9
2015-01-21 10:00:14.633|MSG05|Process VHT_Message_Bus.exe (PID 6540) RUNNING on JUBILEE|4|9
2015-01-21 10:00:14.634|MSG05|Service VHT_Message_Bus RUNNING on JUBILEE. State Running|4|9
2015-01-21 10:00:14.853|MSG05|Process VHT_QueueManager_Service.exe (PID 9828) RUNNING on JUBILEE|4|9
2015-01-21 10:00:14.854|MSG05|Service VHT_QueueManager RUNNING on JUBILEE. State Running|4|9
2015-01-21 10:00:15.076|MSG05|Process VHT_ReportWriter.exe (PID 9568) RUNNING on JUBILEE|4|9
2015-01-21 10:00:15.077|MSG05|Service VHT_ReportWriter RUNNING on JUBILEE. State Running|4|9
2015-01-21 10:01:15.081|MSG05|ProgramMonitorThread polling programs running on JUBILEE|4|9
2015-01-21 10:01:15.309|MSG05|Process VHT_QWatch_Client_Service.exe (PID 8560) RUNNING on JUBILEE|4|9
2015-01-21 10:01:15.309|MSG05|Service VHT_QWatch_Client RUNNING on JUBILEE. State Running|4|9
2015-01-21 10:01:15.531|MSG05|Process VHT_GlobalCall_IVR_Service.exe (PID 8052) RUNNING on JUBILEE|4|9
2015-01-21 10:01:15.531|MSG05|Service VHT_GlobalCall_IVR RUNNING on JUBILEE. State Running|4|9
